Nombre,Ciudad,Dirección,Detalles,Latitud,Longitud,URL_Imagen1,URL_Imagen2,URL_Imagen3,URL_Imagen4,phone,email,URL,precio_dia,precio_semana,precio_mes,precio_puesto_fijo,horario,servicios,capacidad,tipos_espacio
Coworking Social Madrid,Madrid,"C. de San Marcos, 39, Centro, 28004 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.421269,-3.6967299,/uploads/coworking/coworking_coworking_social_madrid_1.jpg,/uploads/coworking/coworking_coworking_social_madrid_2.jpg,/uploads/coworking/coworking_coworking_social_madrid_3.jpg,/uploads/coworking/coworking_coworking_social_madrid_4.jpg,621 15 15 35,info@coworkingsocialmadrid.com,https://coworkingsocialmadrid.com/,,,,,,"wifi,internet,sala de reuniones,impresora",,sala de reuniones
Nomad Coworking,Madrid,"C. del Poeta Joan Maragall, 56, BAJO, Tetuán, 28020 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.4625244,-3.6911947,/uploads/coworking/coworking_nomad_coworking_1.jpg,/uploads/coworking/coworking_nomad_coworking_2.jpg,/uploads/coworking/coworking_nomad_coworking_3.jpg,/uploads/coworking/coworking_nomad_coworking_4.jpg,649 01 41 75,info@nomadespacios.com,https://nomadcoworkingmadrid.com/,,,,,,,,"puesto fijo,puesto flexible"
Area Coworking,Madrid,"C. de Tomás Bretón, 50-52, Arganzuela, 28045 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.3971345,-3.6917148,/uploads/coworking/coworking_area_coworking_1.jpg,/uploads/coworking/coworking_area_coworking_2.jpg,/uploads/coworking/coworking_area_coworking_3.jpg,/uploads/coworking/coworking_area_coworking_4.jpg,644 62 84 10,a@a.com,http://www.areamadrid.es/,,,,,,"wifi,cocina",,
"Goya Smart Coworking, domiciliaciones madrid",Madrid,"Calle de Núñez de Balboa, 35A, Planta 5 Oficina A1, Salamanca, 28001 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.4253867,-3.6828617,/uploads/coworking/coworking_goya_smart_coworking_domiciliaciones_madrid_1.jpg,/uploads/coworking/coworking_goya_smart_coworking_domiciliaciones_madrid_2.jpg,/uploads/coworking/coworking_goya_smart_coworking_domiciliaciones_madrid_3.jpg,/uploads/coworking/coworking_goya_smart_coworking_domiciliaciones_madrid_4.jpg,653 28 87 64,contacto@goyacoworking.es,https://www.goyacoworking.es/,20,,600,,,"internet,café,cocina,parking,terraza",,
BlueChair. Coworking,Madrid,"C. de Jesús y María, 21, Centro, 28012 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.411143,-3.703356,/uploads/coworking/coworking_bluechair_coworking_1.jpg,/uploads/coworking/coworking_bluechair_coworking_2.jpg,/uploads/coworking/coworking_bluechair_coworking_3.jpg,/uploads/coworking/coworking_bluechair_coworking_4.jpg,634 99 11 80,hola@bluechair.es,http://www.bluechair.es/,,,,,10:00-20:00,"wifi,café,cocina",,
CLOONELA coworking,Madrid,"C. de Andorra, 22, Local, Hortaleza, 28043 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.4588189,-3.6448916,/uploads/coworking/coworking_cloonela_coworking_1.jpg,/uploads/coworking/coworking_cloonela_coworking_2.jpg,/uploads/coworking/coworking_cloonela_coworking_3.jpg,/uploads/coworking/coworking_cloonela_coworking_4.jpg,630 07 29 62,core-js-bundle@3.2.1,http://www.cloonela.com/,9,,140,,de atención: </span></span></p>,"wifi,sala de reuniones,parking",,"sala de reuniones,oficina privada"
The Shed Coworking,Madrid,"C. de Hermosilla, 48, 1º Derecha, Salamanca, 28001 Madrid, España",Espacio coworking en Madrid. Valoración: 4.7,40.4261105,-3.6818737,/uploads/coworking/coworking_the_shed_coworking_1.jpg,/uploads/coworking/coworking_the_shed_coworking_2.jpg,/uploads/coworking/coworking_the_shed_coworking_3.jpg,/uploads/coworking/coworking_the_shed_coworking_4.jpg,910 82 10 72,info@theshedcoworking.com,https://www.theshedcoworking.com/?utm_source=google&utm_medium=mybusiness,,,,,tiene el coworking?    </span>,"wifi,internet,sala de reuniones,café,impresora,cocina,parking,terraza",,"puesto fijo,puesto flexible,despacho privado,sala de reuniones,oficina privada"
MODO Coworking,Madrid,"C. de Valderribas, 14, Retiro, 28007 Madrid, España",Espacio coworking en Madrid. Valoración: 4.8,40.40547919999999,-3.6780491,/uploads/coworking/coworking_modo_coworking_1.jpg,/uploads/coworking/coworking_modo_coworking_2.jpg,/uploads/coworking/coworking_modo_coworking_3.jpg,/uploads/coworking/coworking_modo_coworking_4.jpg,918 92 20 96,,https://www.modocoworking.com/,,,,,,"wifi,internet,sala de reuniones",,"despacho privado,sala de reuniones,oficina privada"
CaféOlé! Clubworking - Chamberí,Madrid,"C. de Fernández de los Ríos, 3, Chamberí, 28015 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.43492,-3.704909999999999,/uploads/coworking/coworking_caféolé_clubworking__chamberí_1.jpg,/uploads/coworking/coworking_caféolé_clubworking__chamberí_2.jpg,/uploads/coworking/coworking_caféolé_clubworking__chamberí_3.jpg,/uploads/coworking/coworking_caféolé_clubworking__chamberí_4.jpg,665 32 55 30,cafeole.clubworking@gmail.com,https://cafeole-clubworking.com/,,,,,de lunes a viernes de 9h00 a 20h00 y sábados de 10h a 17h. </span>,"wifi,internet,café,impresora,scanner",,
