Nombre,Ciudad,Dirección,Detalles,Latitud,Longitud,URL_Imagen,phone,email
CoWork Hub Madrid,Madrid,"Calle Gran Vía 28","Espacio moderno y luminoso en pleno centro. WiFi de alta velocidad, salas de reuniones y café ilimitado. 350€",40.4200,-3.7025,https://images.unsplash.com/photo-1497366216548-37526070297c,info@coworkhubmadrid.com, +34 600 123 456
Distrito Digital BCN,Barcelona,"Carrer de Pallars 190","Ambiente creativo con terraza y vistas al mar. Incluye taquillas y eventos networking. 400€",41.3851,2.1734,https://images.unsplash.com/photo-1497366811353-6870744d04b2,contacto@distritodigitalbcn.com, +34 600 654 321
Valencia Work Center,Valencia,"Calle de Colón 60","Oficinas privadas y espacios compartidos con diseño industrial. 300€",39.4699,-0.3763,https://images.unsplash.com/photo-1497366754035-5f381699e765,info@valenciaworkcenter.com, +34 600 987 654
Sevilla Creativa,Sevilla,"Avenida de la Constitución 20","Espacio histórico renovado con patio andaluz y zona chill-out. 275€",37.3891,-5.9845,https://images.unsplash.com/photo-1497366216548-37526070297c,contacto@sevillacreativa.com, +34 600 321 987
Innovation Hub Málaga,Málaga,"Calle Larios 15","Espacio boutique con acceso 24/7. Terraza mediterránea. 325€",36.7213,-4.4217,https://images.unsplash.com/photo-1497366811353-6870744d04b2,contact@innovationhubmalaga.com, +34 600 456 789
Bilbao Makers Space,Bilbao,"Gran Vía 8","Antiguo edificio industrial reconvertido. Laboratorio 3D. 290€",43.2630,-2.9350,https://images.unsplash.com/photo-1498409785966-ab341407de6e,info@bilbaomakerspace.com, +34 600 654 321
Zaragoza Connect,Zaragoza,"Paseo Independencia 24","Espacio minimalista con enfoque tech. 260€",41.6488,-0.8891,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@zaragozaconnect.com, +34 600 789 012
Alicante Beach Work,Alicante,"Avenida Maisonnave 28","Coworking con vistas al mar. Clases de yoga. 285€",38.3452,-0.4815,https://images.unsplash.com/photo-1497366216548-37526070297c,info@alicantebeachwork.com, +34 600 123 789
Granada Innovation Center,Granada,"Calle Recogidas 45","Edificio histórico con toques modernos. 245€",37.1773,-3.5986,https://images.unsplash.com/photo-1497366811353-6870744d04b2,contacto@granadainnovation.com, +34 600 987 321
Vigo Tech Hub,Vigo,"Calle Príncipe 15","Espacio marino-industrial. Laboratorio IoT. 270€",42.2376,-8.7245,https://images.unsplash.com/photo-1498409785966-ab341407de6e,info@vigotechhub.com, +34 600 321 654
Murcia Creative Lab,Murcia,"Plaza Circular 12","Espacio diáfano con luz natural. 280€",37.9922,-1.1307,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@murciacreativelab.com, +34 600 654 987
Oviedo Business Hub,Oviedo,"Calle Uría 32","Edificio señorial con oficinas premium. 315€",43.3614,-5.8497,https://images.unsplash.com/photo-1497366216548-37526070297c,info@oviedobusinesshub.com, +34 600 789 654
Palma Digital Port,Palma,"Paseo Marítimo 38","Espacio inspirador frente al mar. 375€",39.5696,2.6502,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@palma.digital, +34 600 123 456
Valladolid Innova,Valladolid,"Plaza Mayor 9","Centro histórico renovado. 255€",41.6523,-4.7245,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@valladolidinnova.com, +34 600 654 321
Córdoba Creativa,Córdoba,"Calle Gondomar 4","Patio cordobés con espacios de trabajo. 265€",37.8882,-4.7794,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@cordobacreativa.com, +34 600 987 654
Santander Bay Work,Santander,"Paseo Pereda 23","Vistas a la bahía. Espacios flexibles. 295€",43.4623,-3.8099,https://images.unsplash.com/photo-1497366216548-37526070297c,info@santanderbaywork.com, +34 600 321 987
Toledo Heritage Hub,Toledo,"Calle Comercio 47","Edificio medieval modernizado. 240€",39.8628,-4.0273,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@toledoheritagehub.com, +34 600 456 789
Pamplona Connect,Pamplona,"Avenida Carlos III 36","Espacio moderno con enfoque startup. 310€",42.8168,-1.6432,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@pamplonaconnect.com, +34 600 654 321
Badajoz Emprende,Badajoz,"Plaza de España 8","Centro de negocios colaborativo. 235€",38.8786,-6.9701,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@badajozemprende.com, +34 600 987 654
Logroño Wine Valley Hub,Logroño,"Gran Vía 55","Espacio inspirado en el mundo del vino. 270€",42.4663,-2.4469,https://images.unsplash.com/photo-1497366216548-37526070297c,info@logronowinevalley.com, +34 600 321 987
Madrid Tech City,Madrid,"Calle Velázquez 105","Edificio premium con última tecnología. 450€",40.4332,-3.6827,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@madridtechcity.com, +34 600 456 789
Barcelona Design Hub,Barcelona,"Passeig de Gràcia 78","Espacio de diseño con estudio fotográfico. 425€",41.3947,2.1606,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@barcelonadesignhub.com, +34 600 654 321
Valencia Port Lab,Valencia,"Avenida del Puerto 45","Antigua nave portuaria reconvertida. 340€",39.4697,-0.3251,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@valenciaportlab.com, +34 600 987 654
Málaga Smart Office,Málaga,"Calle Alcazabilla 8","Centro histórico con espacios inteligentes. 355€",36.7219,-4.4167,https://images.unsplash.com/photo-1497366216548-37526070297c,info@malagasmartoffice.com, +34 600 321 987
Sevilla Green Work,Sevilla,"Calle San Fernando 12","Edificio sostenible con jardín vertical. 320€",37.3826,-5.9927,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@sevillagreenwork.com, +34 600 456 789
Madrid Startup House,Madrid,"Calle Princesa 25","Hub tecnológico con aceleradora. 380€",40.4238,-3.7123,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@madridstartuphouse.com, +34 600 654 321
Barcelona Creative Space,Barcelona,"Carrer de Trafalgar 12","Espacio artístico en el corazón de la ciudad. 395€",41.3897,2.1745,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@barcelonacreativespace.com, +34 600 987 654
Valencia Innovation Center,Valencia,"Calle Xàtiva 15","Centro de innovación digital. 320€",39.4561,-0.3795,https://images.unsplash.com/photo-1497366216548-37526070297c,info@valenciainnovationcenter.com, +34 600 321 987
Málaga Tech Park,Málaga,"Avenida de Andalucía 22","Parque tecnológico con espacios flexibles. 340€",36.7155,-4.4291,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@malagatechpark.com, +34 600 456 789
Bilbao Design District,Bilbao,"Alameda Mazarredo 65","Distrito creativo con estudios. 285€",43.2679,-2.9339,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@bilbaodesigndistrict.com, +34 600 654 321
A Coruña Digital Port,A Coruña,"Calle Real 15","Espacios marítimos renovados. 265€",43.3713,-8.3959,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@acorunadigitalport.com, +34 600 987 654
Salamanca Study Hub,Salamanca,"Plaza Mayor 12","Ambiente universitario innovador. 245€",40.9650,-5.6636,https://images.unsplash.com/photo-1497366216548-37526070297c,info@salamancastudyhub.com, +34 600 321 987
Gijón Tech Space,Gijón,"Calle Corrida 24","Espacios industriales modernizados. 275€",43.5419,-5.6613,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@gijontechspace.com, +34 600 456 789
Almería Sun Office,Almería,"Paseo de Almería 45","Coworking con terraza mediterránea. 260€",36.8381,-2.4597,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@almeriasunoffice.com, +34 600 654 321
Burgos Innovation Lab,Burgos,"Plaza Mayor 8","Espacio histórico renovado. 250€",42.3439,-3.6969,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@burgosinnovationlab.com, +34 600 987 654
León Creative Hub,León,"Calle Ancha 15","Centro creativo en edificio histórico. 240€",42.5987,-5.5671,https://images.unsplash.com/photo-1497366216548-37526070297c,info@leoncreativehub.com, +34 600 321 987
